dimension,vectors,rank,centroid_norm,norm_spread,gram_error,frame_error
2,3,2,1.6225772543769833e-16,1.1102230246251565e-16,2.220446049250313e-16,1.3017219886192825e-16
3,4,3,1.4946834900704541e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16
4,5,4,4.287933150278701e-16,1.1102230246251565e-16,4.163336342344337e-16,4.440892098500626e-16
5,6,5,2.586076513153599e-16,1.1102230246251565e-16,4.440892098500626e-16,4.440892098500626e-16
6,7,6,2.4019500181425534e-16,1.1102230246251565e-16,2.498001805406602e-16,2.2418720788124805e-16
7,8,7,6.4796043696850615e-16,1.1102230246251565e-16,7.216449660063518e-16,6.661338147750939e-16
8,9,8,6.543932480813826e-16,1.1102230246251565e-16,6.106226635438361e-16,8.881784197001252e-16
9,10,9,6.19701888742333e-16,1.1102230246251565e-16,6.106226635438361e-16,8.881784197001252e-16
10,11,10,7.76292147409622e-16,1.1102230246251565e-16,5.273559366969494e-16,8.881784197001252e-16
11,12,11,5.516420653606247e-16,1.1102230246251565e-16,5.828670879282072e-16,6.661338147750939e-16
12,13,12,1.0024960814037475e-15,2.220446049250313e-16,7.077671781985373e-16,1.1102230246251565e-15
13,14,13,1.1471468089491705e-15,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16
14,15,14,6.987469606563374e-16,1.1102230246251565e-16,3.885780586188048e-16,4.440892098500626e-16
15,16,15,9.005253494517325e-16,2.220446049250313e-16,3.3306690738754696e-16,8.881784197001252e-16
16,17,16,1.1064122902618038e-15,1.1102230246251565e-16,4.579669976578771e-16,8.881784197001252e-16
17,18,17,8.68200938174284e-16,1.1102230246251565e-16,4.579669976578771e-16,6.661338147750939e-16
18,19,18,1.271291954385201e-15,1.1102230246251565e-16,4.926614671774132e-16,6.661338147750939e-16
19,20,19,1.1554716884285803e-15,3.3306690738754696e-16,6.106226635438361e-16,1.3322676295501878e-15
20,21,20,1.4544339986189265e-15,2.220446049250313e-16,4.579669976578771e-16,8.881784197001252e-16
21,22,21,1.4283058639840058e-15,2.220446049250313e-16,6.106226635438361e-16,1.3322676295501878e-15
22,23,22,1.2319886561298298e-15,2.220446049250313e-16,5.065392549852277e-16,1.1102230246251565e-15
23,24,23,1.9877382144719217e-15,2.220446049250313e-16,5.134781488891349e-16,1.1102230246251565e-15
24,25,24,1.3524973247645931e-15,1.1102230246251565e-16,3.400058012914542e-16,1.1102230246251565e-15
25,26,25,1.6434818184476613e-15,1.1102230246251565e-16,5.342948306008566e-16,1.5543122344752192e-15
26,27,26,1.5369662234194477e-15,2.220446049250313e-16,4.440892098500626e-16,8.881784197001252e-16
27,28,27,1.75034990574467e-15,3.3306690738754696e-16,7.771561172376096e-16,1.5543122344752192e-15
28,29,28,1.1539819300115557e-15,3.3306690738754696e-16,6.800116025829084e-16,1.5543122344752192e-15
29,30,29,1.879153167562001e-15,3.3306690738754696e-16,6.245004513516506e-16,1.3322676295501878e-15
30,31,30,1.5904786906992542e-15,4.440892098500626e-16,5.48172618408671e-16,6.661338147750939e-16
31,32,31,1.6811833406939057e-15,5.551115123125783e-16,5.967448757360216e-16,1.3322676295501878e-15
32,33,32,1.7671805233512657e-15,2.220446049250313e-16,9.749145934989656e-16,8.881784197001252e-16
